id_observacion,fecha,id_bus,hora_llegada,hora_inicio_servicio,hora_fin_servicio,hora_llegada_bus,hora_salida_bus,intervalo_observacion,numero_llegadas_intervalo,servidor,interarribo_min,tiempo_espera_min,tiempo_servicio_min,tiempo_sistema_min,observaciones
11,2026-08-31,2,2026-08-31 06:09:52,2026-08-31 06:13:34,2026-08-31 06:13:51,2026-08-31 06:13:00,2026-08-31 06:15:00,06:00-06:10,11,Servidor 1,0.6167,3.7,0.2833,3.9833,
12,2026-08-31,2,2026-08-31 06:10:30,2026-08-31 06:13:51,2026-08-31 06:14:08,2026-08-31 06:13:00,2026-08-31 06:15:00,06:10-06:20,13,Servidor 1,0.6333,3.35,0.2833,3.6333,
13,2026-08-31,2,2026-08-31 06:11:07,2026-08-31 06:14:08,2026-08-31 06:14:25,2026-08-31 06:13:00,2026-08-31 06:15:00,06:10-06:20,13,Servidor 1,0.6167,3.0167,0.2833,3.3,
14,2026-08-31,2,2026-08-31 06:11:45,2026-08-31 06:14:25,2026-08-31 06:14:42,2026-08-31 06:13:00,2026-08-31 06:15:00,06:10-06:20,13,Servidor 1,0.6333,2.6667,0.2833,2.95,
15,2026-08-31,2,2026-08-31 06:12:22,2026-08-31 06:14:42,2026-08-31 06:15:00,2026-08-31 06:13:00,2026-08-31 06:15:00,06:10-06:20,13,Servidor 1,0.6167,2.3333,0.3,2.6333,
16,2026-08-31,3,2026-08-31 06:15:30,2026-08-31 06:23:00,2026-08-31 06:23:20,2026-08-31 06:23:00,2026-08-31 06:28:00,06:10-06:20,13,Servidor 1,3.1333,7.5,0.3333,7.8333,
17,2026-08-31,3,2026-08-31 06:16:00,2026-08-31 06:23:20,2026-08-31 06:23:40,2026-08-31 06:23:00,2026-08-31 06:28:00,06:10-06:20,13,Servidor 1,0.5,7.3333,0.3333,7.6667,
18,2026-08-31,3,2026-08-31 06:16:30,2026-08-31 06:23:40,2026-08-31 06:24:00,2026-08-31 06:23:00,2026-08-31 06:28:00,06:10-06:20,13,Servidor 1,0.5,7.1667,0.3333,7.5,
19,2026-08-31,3,2026-08-31 06:17:00,2026-08-31 06:24:00,2026-08-31 06:24:20,2026-08-31 06:23:00,2026-08-31 06:28:00,06:10-06:20,13,Servidor 1,0.5,7.0,0.3333,7.3333,
20,2026-08-31,3,2026-08-31 06:17:30,2026-08-31 06:24:20,2026-08-31 06:24:40,2026-08-31 06:23:00,2026-08-31 06:28:00,06:10-06:20,13,Servidor 1,0.5,6.8333,0.3333,7.1667,
21,2026-08-31,3,2026-08-31 06:18:00,2026-08-31 06:24:40,2026-08-31 06:25:00,2026-08-31 06:23:00,2026-08-31 06:28:00,06:10-06:20,13,Servidor 1,0.5,6.6667,0.3333,7.0,
22,2026-08-31,3,2026-08-31 06:18:30,2026-08-31 06:25:00,2026-08-31 06:25:20,2026-08-31 06:23:00,2026-08-31 06:28:00,06:10-06:20,13,Servidor 1,0.5,6.5,0.3333,6.8333,
23,2026-08-31,3,2026-08-31 06:19:00,2026-08-31 06:25:20,2026-08-31 06:25:40,2026-08-31 06:23:00,2026-08-31 06:28:00,06:10-06:20,13,Servidor 1,0.5,6.3333,0.3333,6.6667,
24,2026-08-31,3,2026-08-31 06:19:30,2026-08-31 06:25:40,2026-08-31 06:26:00,2026-08-31 06:23:00,2026-08-31 06:28:00,06:10-06:20,13,Servidor 1,0.5,6.1667,0.3333,6.5,
25,2026-08-31,3,2026-08-31 06:20:00,2026-08-31 06:26:00,2026-08-31 06:26:20,2026-08-31 06:23:00,2026-08-31 06:28:00,06:20-06:30,9,Servidor 1,0.5,6.0,0.3333,6.3333,
26,2026-08-31,3,2026-08-31 06:20:30,2026-08-31 06:26:20,2026-08-31 06:26:40,2026-08-31 06:23:00,2026-08-31 06:28:00,06:20-06:30,9,Servidor 1,0.5,5.8333,0.3333,6.1667,
27,2026-08-31,3,2026-08-31 06:21:00,2026-08-31 06:26:40,2026-08-31 06:27:00,2026-08-31 06:23:00,2026-08-31 06:28:00,06:20-06:30,9,Servidor 1,0.5,5.6667,0.3333,6.0,
28,2026-08-31,3,2026-08-31 06:21:30,2026-08-31 06:27:00,2026-08-31 06:27:20,2026-08-31 06:23:00,2026-08-31 06:28:00,06:20-06:30,9,Servidor 1,0.5,5.5,0.3333,5.8333,
29,2026-08-31,3,2026-08-31 06:22:00,2026-08-31 06:27:20,2026-08-31 06:27:40,2026-08-31 06:23:00,2026-08-31 06:28:00,06:20-06:30,9,Servidor 1,0.5,5.3333,0.3333,5.6667,
30,2026-08-31,3,2026-08-31 06:22:30,2026-08-31 06:27:40,2026-08-31 06:28:00,2026-08-31 06:23:00,2026-08-31 06:28:00,06:20-06:30,9,Servidor 1,0.5,5.1667,0.3333,5.5,
31,2026-08-31,4,2026-08-31 06:28:32,2026-08-31 06:36:00,2026-08-31 06:36:25,2026-08-31 06:36:00,2026-08-31 06:42:00,06:20-06:30,9,Servidor 1,6.0333,7.4667,0.4167,7.8833,
32,2026-08-31,4,2026-08-31 06:29:04,2026-08-31 06:36:25,2026-08-31 06:36:51,2026-08-31 06:36:00,2026-08-31 06:42:00,06:20-06:30,9,Servidor 1,0.5333,7.35,0.4333,7.7833,
33,2026-08-31,4,2026-08-31 06:29:36,2026-08-31 06:36:51,2026-08-31 06:37:17,2026-08-31 06:36:00,2026-08-31 06:42:00,06:20-06:30,9,Servidor 1,0.5333,7.25,0.4333,7.6833,
34,2026-08-31,4,2026-08-31 06:30:08,2026-08-31 06:37:17,2026-08-31 06:37:42,2026-08-31 06:36:00,2026-08-31 06:42:00,06:30-06:40,11,Servidor 1,0.5333,7.15,0.4167,7.5667,
35,2026-08-31,4,2026-08-31 06:30:40,2026-08-31 06:37:42,2026-08-31 06:38:08,2026-08-31 06:36:00,2026-08-31 06:42:00,06:30-06:40,11,Servidor 1,0.5333,7.0333,0.4333,7.4667,
36,2026-08-31,4,2026-08-31 06:31:12,2026-08-31 06:38:08,2026-08-31 06:38:34,2026-08-31 06:36:00,2026-08-31 06:42:00,06:30-06:40,11,Servidor 1,0.5333,6.9333,0.4333,7.3667,
37,2026-08-31,4,2026-08-31 06:31:44,2026-08-31 06:38:34,2026-08-31 06:39:00,2026-08-31 06:36:00,2026-08-31 06:42:00,06:30-06:40,11,Servidor 1,0.5333,6.8333,0.4333,7.2667,
38,2026-08-31,4,2026-08-31 06:32:16,2026-08-31 06:39:00,2026-08-31 06:39:25,2026-08-31 06:36:00,2026-08-31 06:42:00,06:30-06:40,11,Servidor 1,0.5333,6.7333,0.4167,7.15,
39,2026-08-31,4,2026-08-31 06:32:48,2026-08-31 06:39:25,2026-08-31 06:39:51,2026-08-31 06:36:00,2026-08-31 06:42:00,06:30-06:40,11,Servidor 1,0.5333,6.6167,0.4333,7.05,
40,2026-08-31,4,2026-08-31 06:33:20,2026-08-31 06:39:51,2026-08-31 06:40:17,2026-08-31 06:36:00,2026-08-31 06:42:00,06:30-06:40,11,Servidor 1,0.5333,6.5167,0.4333,6.95,
41,2026-08-31,4,2026-08-31 06:33:52,2026-08-31 06:40:17,2026-08-31 06:40:42,2026-08-31 06:36:00,2026-08-31 06:42:00,06:30-06:40,11,Servidor 1,0.5333,6.4167,0.4167,6.8333,
42,2026-08-31,4,2026-08-31 06:34:24,2026-08-31 06:40:42,2026-08-31 06:41:08,2026-08-31 06:36:00,2026-08-31 06:42:00,06:30-06:40,11,Servidor 1,0.5333,6.3,0.4333,6.7333,
43,2026-08-31,4,2026-08-31 06:34:56,2026-08-31 06:41:08,2026-08-31 06:41:34,2026-08-31 06:36:00,2026-08-31 06:42:00,06:30-06:40,11,Servidor 1,0.5333,6.2,0.4333,6.6333,
44,2026-08-31,4,2026-08-31 06:35:28,2026-08-31 06:41:34,2026-08-31 06:42:00,2026-08-31 06:36:00,2026-08-31 06:42:00,06:30-06:40,11,Servidor 1,0.5333,6.1,0.4333,6.5333,
45,2026-08-31,5,2026-08-31 06:43:00,2026-08-31 06:49:00,2026-08-31 06:49:40,2026-08-31 06:49:00,2026-08-31 06:53:00,06:40-06:50,6,Servidor 1,7.5333,6.0,0.6667,6.6667,
46,2026-08-31,5,2026-08-31 06:44:00,2026-08-31 06:49:40,2026-08-31 06:50:20,2026-08-31 06:49:00,2026-08-31 06:53:00,06:40-06:50,6,Servidor 1,1.0,5.6667,0.6667,6.3333,
47,2026-08-31,5,2026-08-31 06:45:00,2026-08-31 06:50:20,2026-08-31 06:51:00,2026-08-31 06:49:00,2026-08-31 06:53:00,06:40-06:50,6,Servidor 1,1.0,5.3333,0.6667,6.0,
48,2026-08-31,5,2026-08-31 06:46:00,2026-08-31 06:51:00,2026-08-31 06:51:40,2026-08-31 06:49:00,2026-08-31 06:53:00,06:40-06:50,6,Servidor 1,1.0,5.0,0.6667,5.6667,
49,2026-08-31,5,2026-08-31 06:47:00,2026-08-31 06:51:40,2026-08-31 06:52:20,2026-08-31 06:49:00,2026-08-31 06:53:00,06:40-06:50,6,Servidor 1,1.0,4.6667,0.6667,5.3333,
50,2026-08-31,5,2026-08-31 06:48:00,2026-08-31 06:52:20,2026-08-31 06:53:00,2026-08-31 06:49:00,2026-08-31 06:53:00,06:40-06:50,6,Servidor 1,1.0,4.3333,0.6667,5.0,
51,2026-08-31,6,2026-08-31 06:57:40,2026-08-31 07:07:00,2026-08-31 07:07:30,2026-08-31 07:07:00,2026-08-31 07:08:00,06:50-07:00,1,Servidor 1,9.6667,9.3333,0.5,9.8333,
52,2026-08-31,6,2026-08-31 07:02:20,2026-08-31 07:07:30,2026-08-31 07:08:00,2026-08-31 07:07:00,2026-08-31 07:08:00,07:00-07:10,1,Servidor 1,4.6667,5.1667,0.5,5.6667,
53,2026-08-31,9,2026-08-31 07:11:10,2026-08-31 07:17:00,2026-08-31 07:17:24,2026-08-31 07:17:00,2026-08-31 07:19:00,07:10-07:20,5,Servidor 1,8.8333,5.8333,0.4,6.2333,
54,2026-08-31,9,2026-08-31 07:12:20,2026-08-31 07:17:24,2026-08-31 07:17:48,2026-08-31 07:17:00,2026-08-31 07:19:00,07:10-07:20,5,Servidor 1,1.1667,5.0667,0.4,5.4667,
55,2026-08-31,9,2026-08-31 07:13:30,2026-08-31 07:17:48,2026-08-31 07:18:12,2026-08-31 07:17:00,2026-08-31 07:19:00,07:10-07:20,5,Servidor 1,1.1667,4.3,0.4,4.7,
56,2026-08-31,9,2026-08-31 07:14:40,2026-08-31 07:18:12,2026-08-31 07:18:36,2026-08-31 07:17:00,2026-08-31 07:19:00,07:10-07:20,5,Servidor 1,1.1667,3.5333,0.4,3.9333,
57,2026-08-31,9,2026-08-31 07:15:50,2026-08-31 07:18:36,2026-08-31 07:19:00,2026-08-31 07:17:00,2026-08-31 07:19:00,07:10-07:20,5,Servidor 1,1.1667,2.7667,0.4,3.1667,
58,2026-08-31,10,2026-08-31 07:21:15,2026-08-31 07:28:00,2026-08-31 07:28:20,2026-08-31 07:28:00,2026-08-31 07:29:00,07:20-07:30,3,Servidor 1,5.4167,6.75,0.3333,7.0833,
59,2026-08-31,10,2026-08-31 07:23:30,2026-08-31 07:28:20,2026-08-31 07:28:40,2026-08-31 07:28:00,2026-08-31 07:29:00,07:20-07:30,3,Servidor 1,2.25,4.8333,0.3333,5.1667,
60,2026-08-31,10,2026-08-31 07:25:45,2026-08-31 07:28:40,2026-08-31 07:29:00,2026-08-31 07:28:00,2026-08-31 07:29:00,07:20-07:30,3,Servidor 1,2.25,2.9167,0.3333,3.25,
61,2026-08-31,11,2026-08-31 07:30:00,2026-08-31 07:33:00,2026-08-31 07:33:20,2026-08-31 07:33:00,2026-08-31 07:34:00,07:30-07:40,7,Servidor 1,4.25,3.0,0.3333,3.3333,
62,2026-08-31,11,2026-08-31 07:31:00,2026-08-31 07:33:20,2026-08-31 07:33:40,2026-08-31 07:33:00,2026-08-31 07:34:00,07:30-07:40,7,Servidor 1,1.0,2.3333,0.3333,2.6667,
63,2026-08-31,11,2026-08-31 07:32:00,2026-08-31 07:33:40,2026-08-31 07:34:00,2026-08-31 07:33:00,2026-08-31 07:34:00,07:30-07:40,7,Servidor 1,1.0,1.6667,0.3333,2.0,
64,2026-08-31,12,2026-08-31 07:35:22,2026-08-31 07:45:00,2026-08-31 07:45:17,2026-08-31 07:45:00,2026-08-31 07:47:00,07:30-07:40,7,Servidor 1,3.3667,9.6333,0.2833,9.9167,
65,2026-08-31,12,2026-08-31 07:36:45,2026-08-31 07:45:17,2026-08-31 07:45:34,2026-08-31 07:45:00,2026-08-31 07:47:00,07:30-07:40,7,Servidor 1,1.3833,8.5333,0.2833,8.8167,
66,2026-08-31,12,2026-08-31 07:38:07,2026-08-31 07:45:34,2026-08-31 07:45:51,2026-08-31 07:45:00,2026-08-31 07:47:00,07:30-07:40,7,Servidor 1,1.3667,7.45,0.2833,7.7333,
67,2026-08-31,12,2026-08-31 07:39:30,2026-08-31 07:45:51,2026-08-31 07:46:08,2026-08-31 07:45:00,2026-08-31 07:47:00,07:30-07:40,7,Servidor 1,1.3833,6.35,0.2833,6.6333,
68,2026-08-31,12,2026-08-31 07:40:52,2026-08-31 07:46:08,2026-08-31 07:46:25,2026-08-31 07:45:00,2026-08-31 07:47:00,07:40-07:50,4,Servidor 1,1.3667,5.2667,0.2833,5.55,
69,2026-08-31,12,2026-08-31 07:42:15,2026-08-31 07:46:25,2026-08-31 07:46:42,2026-08-31 07:45:00,2026-08-31 07:47:00,07:40-07:50,4,Servidor 1,1.3833,4.1667,0.2833,4.45,
70,2026-08-31,12,2026-08-31 07:43:37,2026-08-31 07:46:42,2026-08-31 07:47:00,2026-08-31 07:45:00,2026-08-31 07:47:00,07:40-07:50,4,Servidor 1,1.3667,3.0833,0.3,3.3833,
71,2026-08-31,13,2026-08-31 07:48:48,2026-08-31 07:56:00,2026-08-31 07:56:30,2026-08-31 07:56:00,2026-08-31 07:58:00,07:40-07:50,4,Servidor 1,5.1833,7.2,0.5,7.7,
72,2026-08-31,13,2026-08-31 07:50:36,2026-08-31 07:56:30,2026-08-31 07:57:00,2026-08-31 07:56:00,2026-08-31 07:58:00,07:50-08:00,4,Servidor 1,1.8,5.9,0.5,6.4,
73,2026-08-31,13,2026-08-31 07:52:24,2026-08-31 07:57:00,2026-08-31 07:57:30,2026-08-31 07:56:00,2026-08-31 07:58:00,07:50-08:00,4,Servidor 1,1.8,4.6,0.5,5.1,
74,2026-08-31,13,2026-08-31 07:54:12,2026-08-31 07:57:30,2026-08-31 07:58:00,2026-08-31 07:56:00,2026-08-31 07:58:00,07:50-08:00,4,Servidor 1,1.8,3.3,0.5,3.8,
75,2026-08-31,14,2026-08-31 07:59:51,2026-08-31 08:11:00,2026-08-31 08:11:20,2026-08-31 08:11:00,2026-08-31 08:13:00,07:50-08:00,4,Servidor 1,5.65,11.15,0.3333,11.4833,
76,2026-08-31,14,2026-08-31 08:01:42,2026-08-31 08:11:20,2026-08-31 08:11:40,2026-08-31 08:11:00,2026-08-31 08:13:00,08:00-08:10,5,Servidor 1,1.85,9.6333,0.3333,9.9667,
77,2026-08-31,14,2026-08-31 08:03:34,2026-08-31 08:11:40,2026-08-31 08:12:00,2026-08-31 08:11:00,2026-08-31 08:13:00,08:00-08:10,5,Servidor 1,1.8667,8.1,0.3333,8.4333,
78,2026-08-31,14,2026-08-31 08:05:25,2026-08-31 08:12:00,2026-08-31 08:12:20,2026-08-31 08:11:00,2026-08-31 08:13:00,08:00-08:10,5,Servidor 1,1.85,6.5833,0.3333,6.9167,
79,2026-08-31,14,2026-08-31 08:07:17,2026-08-31 08:12:20,2026-08-31 08:12:40,2026-08-31 08:11:00,2026-08-31 08:13:00,08:00-08:10,5,Servidor 1,1.8667,5.05,0.3333,5.3833,
80,2026-08-31,14,2026-08-31 08:09:08,2026-08-31 08:12:40,2026-08-31 08:13:00,2026-08-31 08:11:00,2026-08-31 08:13:00,08:00-08:10,5,Servidor 1,1.85,3.5333,0.3333,3.8667,
81,2026-08-31,15,2026-08-31 08:15:20,2026-08-31 08:27:00,2026-08-31 08:27:12,2026-08-31 08:27:00,2026-08-31 08:28:00,08:10-08:20,2,Servidor 1,6.2,11.6667,0.2,11.8667,
82,2026-08-31,15,2026-08-31 08:17:40,2026-08-31 08:27:12,2026-08-31 08:27:24,2026-08-31 08:27:00,2026-08-31 08:28:00,08:10-08:20,2,Servidor 1,2.3333,9.5333,0.2,9.7333,
83,2026-08-31,15,2026-08-31 08:20:00,2026-08-31 08:27:24,2026-08-31 08:27:36,2026-08-31 08:27:00,2026-08-31 08:28:00,08:20-08:30,3,Servidor 1,2.3333,7.4,0.2,7.6,
84,2026-08-31,15,2026-08-31 08:22:20,2026-08-31 08:27:36,2026-08-31 08:27:48,2026-08-31 08:27:00,2026-08-31 08:28:00,08:20-08:30,3,Servidor 1,2.3333,5.2667,0.2,5.4667,
85,2026-08-31,15,2026-08-31 08:24:40,2026-08-31 08:27:48,2026-08-31 08:28:00,2026-08-31 08:27:00,2026-08-31 08:28:00,08:20-08:30,3,Servidor 1,2.3333,3.1333,0.2,3.3333,
